Investigation.Type,Location,Abbreviation,Country,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition
Accident,SUPERIOR,NE,United States,Destroyed,AIR TRACTOR,AT-401,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,EUDORA,AR,United States,Substantial,AIR TRACTOR,AT-502B,1.0,Turbo Prop,Aerial Application,0.0,1.0,0.0,0.0,VMC
Accident,SALINAS,CA,United States,Substantial,BELL,206B-3,1.0,Turbo Shaft,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,FURMAN,SC,United States,Substantial,CESSNA,T188C,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,SPRING BROOK,WI,United States,Substantial,BELL,47G-2,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,NICKERSON,KS,United States,Substantial,CESSNA,A188B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,CANTON,MS,United States,Destroyed,BELL,47G-3B-1,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC
Accident,SEGRAVES,TX,United States,Substantial,AIR TRACTOR,402B,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,FARWELL,TX,United States,Substantial,CESSNA,188B,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,ERICK,OK,United States,Substantial,GRUMMAN-SCHWEIZER,G-164B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,BIG PINEY,WY,United States,Substantial,CESSNA,340A,2.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC
Accident,PINE HILL,AL,United States,Substantial,BELL,47G-3B-2,1.0,Turbo Shaft,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,SLEETMUTE,AK,United States,Substantial,PIPER,PA-18,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,VMC
Accident,NORTH ARLINGTON,NJ,United States,Substantial,BELL,206B,1.0,Turbo Shaft,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,LARIAT,TX,United States,Substantial,AIR TRACTOR,AT-502,1.0,Turbo Prop,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,LAS CRUCES,NM,United States,Substantial,BELLANCA,17-30A,1.0,Reciprocating,Business,0.0,0.0,2.0,1.0,VMC
Accident,GALENA,AK,United States,Substantial,PIPER,PA-18,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,JEFFERSONVILLE,IN,United States,Substantial,PIPER,PA-31-325,2.0,Reciprocating,Business,0.0,0.0,1.0,0.0,VMC
Accident,CORCORAN,CA,United States,Substantial,SCHWEIZER,G-164B,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,JACKSONVILLE,AR,United States,Substantial,PZL-MIELEC,M-18A,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,TRACY,CA,United States,Substantial,GRUMMAN-SCHWEIZER,G-164B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,COLUMBIA RIVER,WA,United States,Substantial,AIR TRACTOR,AT-602,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,STANTON,TX,United States,Destroyed,CESSNA,188B,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,OGDEN,UT,United States,Substantial,MAULE,M-7-235B,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC
Accident,JASPER,TX,United States,Substantial,BELL,206-L1,1.0,Turbo Shaft,Aerial Application,0.0,1.0,0.0,0.0,IMC
Accident,SANTA ROSA,CA,United States,Destroyed,CESSNA,182S,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC
Accident,COTULLA,TX,United States,Substantial,PIPER,PA-23-160,2.0,Reciprocating,Business,1.0,1.0,0.0,0.0,VMC
Accident,SELMER,TN,United States,Destroyed,PIPER,PA-32RT,1.0,Reciprocating,Business,1.0,3.0,1.0,0.0,VMC
Accident,HILLSBORO,MO,United States,Destroyed,CESSNA,335,2.0,Reciprocating,Business,3.0,0.0,0.0,0.0,IMC
Accident,DRIGGS,ID,United States,Substantial,CESSNA,185F,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,LITTLEFIELD,TX,United States,Destroyed,AIR TRACTOR,AT-301,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,STANTON,TX,United States,Destroyed,CESSNA,188B,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC
Accident,HALF MOON BAY,CA,United States,Substantial,CESSNA,172P,1.0,Reciprocating,Business,0.0,0.0,2.0,1.0,VMC
Accident,Gaylord,MI,United States,Destroyed,PIPER,PA-28R-200,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,IMC
Accident,OKLAHOMA CITY,OK,United States,Destroyed,CESSNA,210,1.0,Reciprocating,Business,1.0,0.0,0.0,1.0,IMC
Accident,JULIAN,CA,United States,Destroyed,CESSNA,340A,2.0,Reciprocating,Business,2.0,0.0,0.0,0.0,IMC
Accident,DAYTON VALLEY,NV,United States,Substantial,PIPER,PA-32R-301,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
